Company,Date,Open,High,Low,Close,Volume
1JANATAMF,18/05/2009,6.4,6.5,6.3,6.4,155037
1JANATAMF,16/06/2009,2.96,3.05,2.87,2.96,269384
1JANATAMF,17/07/2009,6.53,6.62,6.53,6.62,512224
1JANATAMF,18/07/2009,6.1,6.3,6.1,6.3,488671
1JANATAMF,16/08/2009,3.31,3.39,3.22,3.39,579072
1JANATAMF,17/08/2009,6.8,6.8,6.53,6.62,539732
1JANATAMF,18/08/2009,6.3,6.4,6.2,6.2,213810
1JANATAMF,18/09/2009,5.9,6,5.9,6,35963
1JANATAMF,16/10/2009,3.35,3.35,3.25,3.35,201948
1JANATAMF,17/10/2009,6.8,6.9,6.7,6.8,569893
1JANATAMF,18/10/2009,4.6,4.7,4.5,4.5,62326
1JANATAMF,16/11/2009,3.44,3.44,3.35,3.35,219320
1JANATAMF,17/11/2009,6.6,6.7,6.5,6.6,234307
1JANATAMF,16/01/2010,2.61,2.7,2.61,2.61,132958
1JANATAMF,17/01/2010,5.25,5.44,5.25,5.25,2159740
1JANATAMF,18/01/2010,6.5,6.6,6.5,6.6,339808
1JANATAMF,16/02/2010,2.7,2.87,2.7,2.79,140073
1JANATAMF,16/03/2010,2.7,2.79,2.7,2.79,219136
1JANATAMF,16/04/2010,2.79,2.87,2.79,2.87,117845
1JANATAMF,17/04/2010,6.62,6.71,6.53,6.62,1948624
1JANATAMF,18/04/2010,6.2,6.3,6.2,6.2,211057
1JANATAMF,16/05/2010,2.79,2.87,2.7,2.87,212005
1JANATAMF,18/05/2010,6.3,6.4,6.3,6.3,90737
1JANATAMF,18/06/2010,6.1,6.2,6.1,6.1,60204
1JANATAMF,16/07/2010,3.13,3.13,3.05,3.13,491112
1JANATAMF,17/07/2010,6.53,6.8,6.53,6.71,1106877
1JANATAMF,18/07/2010,6.2,6.3,6.2,6.3,309080
1JANATAMF,16/08/2010,3.39,3.48,3.31,3.39,930036
1JANATAMF,17/08/2010,6.62,6.8,6.44,6.62,2883705
1JANATAMF,17/09/2010,7,7.1,6.8,7,902837
1JANATAMF,18/09/2010,5.9,6,5.9,5.9,99497
1JANATAMF,16/10/2010,3.25,3.35,3.25,3.35,416428
1JANATAMF,17/10/2010,6.8,6.9,6.7,6.7,706426
1JANATAMF,18/10/2010,4.5,4.6,4.5,4.6,13274
